pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,835.9673465091855
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,836.4389838194154
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,837.8295227550176
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,835.809291339969
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,835.3961813550172
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,836.7849887526125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,835.809291339969
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,835.3961813550172
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,836.7849887526125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,835.809291339969
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,835.3961813550172
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,836.7849887526125
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,835.809291339969
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,835.3380086662834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,834.9251313407681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,824.4822955131629
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,824.9474609119351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,826.3189185647919
